,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,0.907,20.532,0,39,5.875,1.79,0.645,87.07,0.33,2.773,0.361,0.58
2,1.037,21.639,0,43,4.974,1.498,0.882,57.122,0.527,1.699,0.589,0.764
3,1,22.816,0,46,5.708,2.521,0.505,13.714,0.386,4.989,0.2,0.922
4,1.801,12.12,0,31,6.322,1.981,1.158,18.149,0.566,1.71,0.585,0.831
5,0.997,26.588,0,49,5.271,1.764,0.72,90.926,0.451,2.45,0.408,0.826
6,1.293,17.866,0,38,6.057,1.477,1.115,76.912,0.443,1.325,0.755,0.69
7,0.941,22.079,0,43,5.081,1.219,0.982,118.343,0.458,1.242,0.805,0.686
8,0.63,28.627,0,50,3.118,0.955,0.84,111.312,0.814,1.137,0.88,0.958
9,0.838,20.451,0,42,4.918,1.982,0.539,8.37,0.436,3.679,0.272,0.878
10,2.666,7.674,0,24,12.899,4.487,0.756,9.193,0.201,5.932,0.169,0.469
11,0.416,36.614,6,51,2.307,0.833,0.636,0,0.983,1.311,0.763,1
12,0.285,46.267,16,62,1.898,0.634,0.572,0,0.994,1.109,0.902,1
13,0.461,28.262,0,46,3.166,1.16,0.506,34.162,0.578,2.291,0.436,0.906
14,0.991,24.819,0,46,5.03,1.415,0.891,150.942,0.492,1.588,0.63,NaN
15,0.964,19.689,0,38,5.674,1.99,0.617,92.606,0.376,3.227,0.31,0.704
16,0.734,23.441,0,41,4.346,1.416,0.66,47.268,0.488,2.145,0.466,0.851
17,0.719,26.691,0,52,5.096,1.364,0.672,67.84,0.348,2.031,0.492,0.779
18,1.477,8.633,0,22,9.923,2.709,0.694,149.921,0.189,3.902,0.256,0.444
19,1.015,12.311,0,44,4.593,1.773,0.729,142.277,0.605,2.431,0.411,0.835
20,0.604,22.415,0,41,3.859,1.344,0.573,139.037,0.51,2.348,0.426,0.824
21,0.461,28.029,0,43,3.06,1.179,0.498,126.511,0.619,2.368,0.422,0.925
22,1.122,19.148,0,41,5.45,1.474,0.969,78.826,0.475,1.521,0.657,0.808
23,1.095,17.532,0,35,6.496,2.13,0.655,123.765,0.326,3.252,0.307,0.647
24,2.179,16.303,0,42,9.017,1.983,1.399,141.405,0.337,1.417,0.706,0.652
25,0.492,30.288,1,51,3.35,0.996,0.629,39.085,0.551,1.582,0.632,0.84
26,0.523,27.306,1,47,2.7,0.899,0.742,40.424,0.902,1.212,0.825,0.962
27,0.354,24.009,0,41,2.33,0.801,0.563,28.901,0.82,1.421,0.704,0.959
28,0.424,19.922,0,36,2.989,0.984,0.549,128.165,0.597,1.792,0.558,0.86
29,0.415,9.878,4,15,2.769,0.936,0.564,123.116,0.68,1.659,0.603,0.884
30,0.419,7.577,3,13,3.214,0.954,0.559,81.136,0.51,1.706,0.586,0.759
31,0.287,18.079,5,37,3.631,1.26,0.29,140.978,0.273,4.348,0.23,0.72
32,0.197,26.15,6,44,1.635,0.551,0.454,51.157,0.923,1.214,0.824,0.966
33,0.346,18.793,5,37,2.722,0.858,0.514,34.896,0.588,1.668,0.6,0.832
34,0.417,11.378,6,17,2.935,1.093,0.486,103.902,0.608,2.251,0.444,0.869
35,0.426,11.44,7,18,3.209,1.003,0.541,74.143,0.52,1.856,0.539,0.778
36,0.184,31.912,8,49,1.635,0.583,0.401,63.941,0.863,1.455,0.687,0.965
37,0.447,11.367,6,17,3.201,0.965,0.591,17.381,0.549,1.633,0.612,0.785
38,0.174,14.964,7,21,1.696,0.475,0.467,32.908,0.76,1.017,0.983,0.941
39,0.542,12.524,6,21,4.317,1.257,0.549,2.705,0.365,2.29,0.437,0.755
40,0.431,25.659,6,46,3.78,1.356,0.405,177.794,0.379,3.351,0.298,0.846
41,0.686,12.568,6,22,5.957,1.825,0.478,28.383,0.243,3.816,0.262,0.554
42,0.93,15.016,6,40,8.057,1.57,0.754,56.054,0.18,2.081,0.48,0.397
43,0.525,15.162,7,29,3.588,1.202,0.557,115.749,0.513,2.158,0.463,0.837
44,0.422,17.683,7,37,2.81,0.795,0.675,74.042,0.671,1.177,0.85,0.879
45,0.14,19.69,6,34,1.715,0.487,0.366,149.387,0.597,1.332,0.751,0.804
46,0.556,10.681,6,14,3.364,0.998,0.709,70.351,0.617,1.407,0.711,0.866
47,0.215,31.274,7,56,2.554,0.854,0.321,38.812,0.415,2.659,0.376,0.785
48,0.361,10.215,5,17,2.919,1.288,0.357,13.872,0.532,3.613,0.277,0.906
49,0.781,10.71,4,19,4.714,1.754,0.567,170.462,0.442,3.091,0.323,0.839
50,0.208,18.902,5,30,2.192,0.744,0.356,127.672,0.544,2.091,0.478,0.848
51,0.517,16.186,6,32,8.114,2.872,0.229,113.673,0.099,12.528,0.08,0.45
52,0.157,35.787,7,64,1.571,0.575,0.347,48.887,0.798,1.655,0.604,0.927
53,0.708,14.707,6,31,5.032,2.096,0.43,145.381,0.351,4.872,0.205,0.878
54,0.189,47.474,9,76,1.538,0.501,0.481,90,1,1.041,0.96,1
55,0.364,16.148,0,39,3.422,1.174,0.395,80.474,0.391,2.972,0.336,0.729
56,0.455,13.602,0,35,3.553,1.066,0.543,98.451,0.453,1.963,0.51,0.688
57,0.785,12.529,0,35,6.115,2.066,0.484,35.111,0.264,4.268,0.234,0.574
58,0.229,30.831,0,56,2.056,0.778,0.374,17.062,0.68,2.08,0.481,0.909
59,0.176,40.257,1,58,1.746,0.565,0.397,71.374,0.726,1.421,0.704,0.929
60,0.336,17.654,0,40,3.18,1.116,0.383,1.13,0.417,2.917,0.343,0.782
61,0.588,16.055,0,36,3.936,1.193,0.628,7.21,0.477,1.901,0.526,0.734
62,0.278,19.871,0,42,2.108,0.716,0.494,40.714,0.786,1.449,0.69,0.908
63,0.352,16.288,0,41,3.364,1.007,0.445,19.056,0.391,2.261,0.442,0.765
64,0.205,38.284,0,59,1.604,0.521,0.501,90,1,1.039,0.962,1
65,0.636,12.989,0,37,3.866,1.138,0.712,131.054,0.535,1.599,0.625,0.822
66,0.467,16.592,0,41,3.261,1.006,0.592,154.818,0.552,1.699,0.588,0.761
67,0.809,9.202,0,24,6.615,2.399,0.429,28.236,0.232,5.587,0.179,0.548
68,1.785,5.77,0,20,8.766,3.59,0.633,30.685,0.292,5.672,0.176,0.632
69,0.568,12.382,0,34,3.222,1.184,0.611,160.032,0.688,1.938,0.516,0.923
70,0.554,14.045,0,34,3.044,1.147,0.615,139.435,0.751,1.866,0.536,0.953
71,0.48,17.659,0,46,3.92,1.197,0.51,16.941,0.392,2.344,0.427,0.73
72,0.55,15.435,0,41,3.149,1.061,0.66,58.635,0.697,1.608,0.622,0.893
73,0.457,16.412,0,36,3.269,0.981,0.593,125.231,0.537,1.655,0.604,0.753
74,0.463,16.709,0,38,3.067,0.868,0.68,1.286,0.619,1.277,0.783,0.815
75,0.153,27.176,0,42,1.778,0.635,0.308,51.409,0.61,2.064,0.484,0.889
76,0.146,26.381,0,41,2.078,0.674,0.276,116.391,0.426,2.441,0.41,0.783
77,0.56,14.058,0,34,4.55,1.728,0.413,66.821,0.34,4.188,0.239,0.831
78,0.443,19.736,0,46,3.59,1.282,0.439,0.426,0.431,2.918,0.343,0.769
79,0.272,29.682,0,55,3.435,1.004,0.345,137.531,0.289,2.916,0.343,0.642
80,1.063,28.199,0,63,5.076,1.446,0.935,6.145,0.518,1.546,0.647,0.759
81,0.142,31.787,1,50,1.342,0.435,0.417,90,0.994,1.042,0.96,1
82,0.203,46.916,3,72,1.604,0.561,0.46,90,0.991,1.219,0.82,1
83,0.392,52.608,7,85,2.225,0.772,0.647,0,0.995,1.193,0.838,1
84,0.982,7.617,0,25,7.287,1.982,0.631,172.537,0.232,3.141,0.318,0.547
85,0.499,13.312,0,24,3.828,1.069,0.595,123.108,0.428,1.799,0.556,0.692
86,0.317,21.588,0,44,3.023,1.106,0.365,159.907,0.436,3.031,0.33,0.816
87,0.278,20.902,0,40,2.724,0.799,0.442,18.367,0.47,1.806,0.554,0.766
88,0.269,21.53,0,41,2.206,0.848,0.404,90.653,0.696,2.097,0.477,0.937
89,0.218,26.592,0,45,2.066,0.687,0.404,121.337,0.643,1.7,0.588,NaN
90,0.522,16.195,0,42,3.491,1.12,0.593,169.77,0.538,1.889,0.529,0.777
91,0.367,26.755,0,49,2.651,0.863,0.542,7.742,0.656,1.592,0.628,0.899
92,0.698,11.134,0,28,3.538,1.098,0.81,152.268,0.701,1.357,0.737,0.905
93,0.545,10.817,0,26,3.813,1.056,0.658,60.637,0.471,1.605,0.623,0.708
94,1.076,7.697,0,24,4.42,1.414,0.969,80.915,0.692,1.459,0.686,0.894
95,0.128,34.06,0,67,1.72,0.605,0.271,133.541,0.546,2.235,0.447,0.791
96,0.348,21.864,0,46,3.688,1.378,0.321,94.405,0.321,4.288,0.233,0.774
97,0.206,31.364,0,53,1.923,0.606,0.432,66.184,0.698,1.404,0.712,0.91
98,0.298,24.212,0,53,3.641,1.38,0.275,62.361,0.283,5.017,0.199,0.783
99,0.344,22.691,0,49,3.015,1.158,0.378,11.641,0.476,3.061,0.327,0.822
100,0.682,14.124,0,33,4.99,1.233,0.704,108.89,0.344,1.751,0.571,0.652
101,0.463,21.887,0,47,2.619,0.819,0.72,168.081,0.849,1.138,0.878,0.957
102,0.426,20.225,0,44,3.193,1.313,0.413,94.858,0.525,3.177,0.315,0.913
103,0.359,20.557,0,40,2.719,0.771,0.593,18.049,0.611,1.301,0.769,0.786
104,0.596,15.343,0,38,3.152,0.929,0.817,71.25,0.753,1.137,0.879,0.875
105,0.127,40.803,0,62,1.389,0.44,0.367,168.204,0.826,1.198,0.834,0.937
106,0.226,35.769,0,59,2.314,0.638,0.451,70.444,0.53,1.415,0.707,0.846
107,0.288,37.555,0,67,2.844,0.957,0.383,77.324,0.447,2.503,0.4,0.757
108,0.325,21.361,0,43,2.433,0.835,0.496,101.248,0.69,1.682,0.594,0.896
109,0.395,20.921,0,42,3.133,0.777,0.648,6.038,0.506,1.2,0.833,0.741
