Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,Aspect Ratio,Status
0.216,49083.742,2297,65535,1.888,0.588,0.469,41.662,0.763,1.254,0.798,0.894,1.253731343,Apoptotic
0.212,36030.844,1847,65535,2.283,0.691,0.39,2.708,0.511,1.77,0.565,0.807,1.771794872,Apoptotic
0.101,54952.811,16023,65535,1.55,0.487,0.264,42.409,0.529,1.843,0.542,0.816,1.84469697,Apoptotic
0.235,36117.37,1594,65535,1.87,0.641,0.467,145.595,0.845,1.372,0.729,0.961,1.372591006,Apoptotic
0.172,42741.22,1867,65535,2.069,0.554,0.396,30.069,0.505,1.399,0.715,0.71,1.398989899,Apoptotic
0.139,43169.244,4313,65535,1.673,0.52,0.339,69.663,0.622,1.535,0.651,0.84,1.533923304,Apoptotic
0.149,56700.943,3690,65535,1.513,0.597,0.319,170.874,0.82,1.874,0.533,0.964,1.871473354,Apoptotic
0.129,44009.303,2040,65535,1.376,0.439,0.373,164.984,0.854,1.177,0.85,0.951,1.1769437,Apoptotic
0.143,38863.556,1787,63741,1.653,0.55,0.331,129.37,0.658,1.662,0.602,0.849,1.66163142,Apoptotic
0.244,27733.742,1831,55011,2.088,0.844,0.369,96.051,0.704,2.29,0.437,0.955,2.287262873,Apoptotic
0.13,39708.585,1414,65508,1.876,0.694,0.238,168.262,0.463,2.92,0.343,0.81,2.915966387,Apoptotic
0.264,24661.276,1582,64942,2.711,0.938,0.359,166.76,0.452,2.612,0.383,0.753,2.61281337,Apoptotic
0.282,23878.225,1373,65535,2.819,0.675,0.532,45.238,0.446,1.27,0.787,0.64,1.268796992,Apoptotic
0.159,2647.667,912,6072,1.662,0.487,0.415,41.282,0.721,1.174,0.852,0.973,1.173493976,Apoptotic
0.264,24131.712,1285,58436,2.837,0.745,0.452,110.486,0.413,1.648,0.607,0.642,1.648230088,Apoptotic
0.313,20095.765,1257,53055,2.8,0.91,0.438,124.034,0.501,2.079,0.481,0.848,2.077625571,Apoptotic
0.156,42121.411,1108,65535,2.092,0.481,0.414,171.104,0.448,1.162,0.861,0.701,1.161835749,Apoptotic
0.19,29480.907,1446,60223,2.281,0.921,0.263,62.26,0.459,3.505,0.285,0.778,3.501901141,Apoptotic
0.15,3185.819,1385,7947,1.519,0.596,0.32,4.592,0.816,1.864,0.537,0.957,1.8625,Apoptotic
0.092,4298.681,1646,8501,1.21,0.372,0.313,65.004,0.785,1.189,0.841,0.93,1.188498403,Apoptotic
0.131,5106.676,3269,8461,1.357,0.442,0.376,139.82,0.892,1.176,0.85,0.97,1.175531915,Apoptotic
0.114,4129.465,1626,8200,1.419,0.533,0.274,18.535,0.715,1.946,0.514,0.959,1.945255474,Apoptotic
0.334,15683.972,1225,37535,4.239,1.027,0.414,55.775,0.234,2.481,0.403,0.576,2.480676329,Apoptotic
0.164,3469.649,992,8991,1.589,0.524,0.398,46.81,0.815,1.319,0.758,0.942,1.316582915,Apoptotic
0.143,2943.768,1177,7931,1.453,0.494,0.37,93.245,0.853,1.335,0.749,0.956,1.335135135,Apoptotic
0.21,28026.194,1462,65535,2.772,0.876,0.305,13.571,0.343,2.873,0.348,0.758,2.872131148,Apoptotic
0.132,3780.901,1269,11079,1.797,0.566,0.296,132.358,0.513,1.911,0.523,0.765,1.912162162,Apoptotic
0.156,39576.691,1847,65535,1.637,0.633,0.314,8.75,0.731,2.017,0.496,0.941,2.015923567,Apoptotic
0.329,29215.054,1393,63247,3.892,0.718,0.584,4.335,0.273,1.229,0.814,0.499,1.229452055,Apoptotic
0.587,28897.477,1349,65535,4.468,1.3,0.575,162.952,0.37,2.259,0.443,0.717,2.260869565,Apoptotic
0.143,57542.615,15553,65535,1.611,0.543,0.335,87.839,0.692,1.62,0.617,0.859,1.620895522,Apoptotic
0.104,4783.312,1928,9063,1.257,0.382,0.346,22.155,0.826,1.101,0.908,0.922,1.104046243,Apoptotic
0.207,35293.234,1574,65535,2.03,0.813,0.323,7.872,0.63,2.515,0.398,0.915,2.517027864,Apoptotic
0.184,50758.318,4658,65535,1.724,0.705,0.333,107.588,0.78,2.116,0.473,0.938,2.117117117,Apoptotic
0.178,45923.225,3662,65535,1.725,0.668,0.34,92.334,0.752,1.966,0.509,0.93,1.964705882,Apoptotic
0.131,48596.118,5393,65535,1.533,0.635,0.263,19.519,0.701,2.418,0.414,0.942,2.414448669,Apoptotic
0.251,42809.024,2068,65535,2.347,0.788,0.405,129.445,0.572,1.946,0.514,0.795,1.945679012,Apoptotic
0.101,52193.537,7774,65535,1.173,0.398,0.322,48.834,0.92,1.236,0.809,0.956,1.236024845,Apoptotic
0.074,48079.392,13151,65535,1.463,0.419,0.224,21.993,0.433,1.869,0.535,0.92,1.870535714,Apoptotic
0.206,27328.909,1727,64199,1.877,0.526,0.498,170.85,0.735,1.055,0.948,0.924,1.0562249,Apoptotic
0.219,52603.436,2570,65535,2.002,0.654,0.426,176.017,0.686,1.536,0.651,0.868,1.535211268,Apoptotic
0.255,32774.489,1325,65535,2.888,1.088,0.298,132.595,0.384,3.65,0.274,0.807,3.651006711,Apoptotic
0.197,44900.096,2112,65535,1.683,0.591,0.424,118.664,0.874,1.395,0.717,0.942,1.393867925,Apoptotic
0.202,47055.121,2177,65535,2.08,0.655,0.393,117.252,0.587,1.667,0.6,0.784,1.666666667,Apoptotic
